Sort	Order	Family	Subfamily	Genus	Species	Type Species?	Exemplar Accession Number	Exemplar Isolate	Genome Composition	Last Change	MSL of Last Change	Proposal	Taxon History URL
12	Bunyavirales	Hantaviridae		Orthohantavirus	Andes orthohantavirus	0		Andes virus (ANDV), Bermejo virus (BMJV), Lechiguanas virus (LECV), Maciel virus (MCLV), Orán virus (ORNV), Pergamino virus (PRGV), Tunari virus (TUNV)	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162090
13	Bunyavirales	Hantaviridae		Orthohantavirus	Asama orthohantavirus	0	M:EU929075,S:EU929072	Asama virus N10	ssRNA(-)	New,	31	2016.023a-cM.A.v2.Hantavirus_sprev	ICTVonline=20164774
14	Bunyavirales	Hantaviridae		Orthohantavirus	Asikkala orthohantavirus	0	L:KC880347,M:KC880344,S:KC880341	Asikkala virus CZ/Beskydy/412/2010/Sm	ssRNA(-)	New,	31	2016.023a-cM.A.v2.Hantavirus_sprev	ICTVonline=20164775
15	Bunyavirales	Hantaviridae		Orthohantavirus	Bayou orthohantavirus	0		Bayou virus (BAYV)	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162091
16	Bunyavirales	Hantaviridae		Orthohantavirus	Black Creek Canal orthohantavirus	0		Black Creek Canal virus (BCCV)	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162092
17	Bunyavirales	Hantaviridae		Orthohantavirus	Bowe orthohantavirus	0	L:KC631784,M:KC631783,S:KC631782	Bowé virus VN1512	ssRNA(-)	New,	31	2016.023a-cM.A.v2.Hantavirus_sprev	ICTVonline=20164776
18	Bunyavirales	Hantaviridae		Orthohantavirus	Bruges orthohantavirus	0	L:KX551962,M:KX551961,S:KX551960	Bruges virus BE/Vieux-Genappe/TE/2013/1	ssRNA(-)	New,	31	2016.023a-cM.A.v2.Hantavirus_sprev	ICTVonline=20164777
19	Bunyavirales	Hantaviridae		Orthohantavirus	Cano Delgadito orthohantavirus	0		Caño Delgadito virus (CADV)	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162093
20	Bunyavirales	Hantaviridae		Orthohantavirus	Cao Bang orthohantavirus	0	L:EF543525,M:EF543526,S:EF543524	Cao Bang virus 3	ssRNA(-)	New,	31	2016.023a-cM.A.v2.Hantavirus_sprev	ICTVonline=20164778
21	Bunyavirales	Hantaviridae		Orthohantavirus	Choclo orthohantavirus	0	M:DQ285047,S:DQ285046	Choclo virus MSB96073	ssRNA(-)	New,	31	2016.023a-cM.A.v2.Hantavirus_sprev	ICTVonline=20164779
22	Bunyavirales	Hantaviridae		Orthohantavirus	Dabieshan orthohantavirus	0	M:JF796036,S:JF796022	Dabieshan virus Yongjia-Nc-58	ssRNA(-)	New,	31	2016.023a-cM.A.v2.Hantavirus_sprev	ICTVonline=20164780
23	Bunyavirales	Hantaviridae		Orthohantavirus	Dobrava-Belgrade orthohantavirus	0		Dobrava-Belgrade virus (DOBV)	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162094
24	Bunyavirales	Hantaviridae		Orthohantavirus	El Moro Canyon orthohantavirus	0		El Moro Canyon virus (ELMCV)	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162095
25	Bunyavirales	Hantaviridae		Orthohantavirus	Fugong orthohantavirus	0	L:KT899703,M:KT899702,S:KT899701	Fugong virus FG10	ssRNA(-)	New,	31	2016.023a-cM.A.v2.Hantavirus_sprev	ICTVonline=20164781
26	Bunyavirales	Hantaviridae		Orthohantavirus	Fusong orthohantavirus	0	M:EU072488,S:EU072480	Fusong virus Fusong-Mf-682	ssRNA(-)	New,	31	2016.023a-cM.A.v2.Hantavirus_sprev	ICTVonline=20164782
27	Bunyavirales	Hantaviridae		Orthohantavirus	Hantaan orthohantavirus	1		Hantaan virus (HTNV)	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162096
28	Bunyavirales	Hantaviridae		Orthohantavirus	Imjin orthohantavirus	0	L:KJ420567,M:KJ420541,S:KJ420559	Imjin virus Cixi-Cl-23	ssRNA(-)	New,	31	2016.023a-cM.A.v2.Hantavirus_sprev	ICTVonline=20164783
29	Bunyavirales	Hantaviridae		Orthohantavirus	Jeju orthohantavirus	0	L:HQ834697,M:HQ834696,S:HQ834695	Jeju virus 10-11	ssRNA(-)	New,	31	2016.023a-cM.A.v2.Hantavirus_sprev	ICTVonline=20164784
30	Bunyavirales	Hantaviridae		Orthohantavirus	Kenkeme orthohantavirus	0	L:KJ857320,M:KJ857337,S:KJ857341	Kenkeme virus Fuyuan-Sr-326	ssRNA(-)	New,	31	2016.023a-cM.A.v2.Hantavirus_sprev	ICTVonline=20164785
31	Bunyavirales	Hantaviridae		Orthohantavirus	Khabarovsk orthohantavirus	0		Khabarovsk virus (KHAV)	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162098
32	Bunyavirales	Hantaviridae		Orthohantavirus	Laguna Negra orthohantavirus	0		Laguna Negra virus (LANV)	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162099
33	Bunyavirales	Hantaviridae		Orthohantavirus	Laibin orthohantavirus	0	L:KM102249,M:KM102248,S:KM102247	Laibin virus BT20	ssRNA(-)	New,	31	2016.023a-cM.A.v2.Hantavirus_sprev	ICTVonline=20164786
34	Bunyavirales	Hantaviridae		Orthohantavirus	Longquan orthohantavirus	0	M:JX465402,S:JX465422	Longquan virus Longquan-Rs-32	ssRNA(-)	New,	31	2016.023a-cM.A.v2.Hantavirus_sprev	ICTVonline=20164787
35	Bunyavirales	Hantaviridae		Orthohantavirus	Luxi orthohantavirus	0	L:HQ404253,M:HM756287,S:HM756286	Luxi virus LX309	ssRNA(-)	New,	31	2016.023a-cM.A.v2.Hantavirus_sprev	ICTVonline=20164788
36	Bunyavirales	Hantaviridae		Orthohantavirus	Maporal orthohantavirus	0	L:EU788002,M:AY363179,S:AB689164	Maporal virus HV-97021050	ssRNA(-)	New,	31	2016.023a-cM.A.v2.Hantavirus_sprev	ICTVonline=20164789
37	Bunyavirales	Hantaviridae		Orthohantavirus	Montano orthohantavirus	0	L:AB620102,M:AB620101,S:AB620100	Montano virus 104/2006	ssRNA(-)	New,	31	2016.023a-cM.A.v2.Hantavirus_sprev	ICTVonline=20164790
38	Bunyavirales	Hantaviridae		Orthohantavirus	Necocli orthohantavirus	0	M:KF494345,S:KF481954	Necocli virus HV-O0020002	ssRNA(-)	New,	31	2016.023a-cM.A.v2.Hantavirus_sprev	ICTVonline=20164791
39	Bunyavirales	Hantaviridae		Orthohantavirus	Nova orthohantavirus	0	L:KR072623,M:KR072622,S:KR072621	Nova virus 3483 (Te34)	ssRNA(-)	New,	31	2016.023a-cM.A.v2.Hantavirus_sprev	ICTVonline=20164792
40	Bunyavirales	Hantaviridae		Orthohantavirus	Oxbow orthohantavirus	0	M:FJ539167,S:FJ539166	Oxbow virus Ng1453	ssRNA(-)	New,	31	2016.023a-cM.A.v2.Hantavirus_sprev	ICTVonline=20164793
41	Bunyavirales	Hantaviridae		Orthohantavirus	Prospect Hill orthohantavirus	0		Bloodland Lake virus (BLLV), Prospect Hill virus (PHV)	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162102
42	Bunyavirales	Hantaviridae		Orthohantavirus	Puumala orthohantavirus	0		Puumala virus (PUUV)	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162103
43	Bunyavirales	Hantaviridae		Orthohantavirus	Quezon orthohantavirus	0	L:KU950715,M:KU950714,S:KU950713	Quezon virus	ssRNA(-)	New,	31	2016.023a-cM.A.v2.Hantavirus_sprev	ICTVonline=20164794
44	Bunyavirales	Hantaviridae		Orthohantavirus	Rockport orthohantavirus	0	L:HM015221,M:HM015219,S:HM015223	Rockport virus MSB57412	ssRNA(-)	New,	31	2016.023a-cM.A.v2.Hantavirus_sprev	ICTVonline=20164795
45	Bunyavirales	Hantaviridae		Orthohantavirus	Sangassou orthohantavirus	0		Sangassou virus (SANGV)	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162107
46	Bunyavirales	Hantaviridae		Orthohantavirus	Seoul orthohantavirus	0		Seoul virus (SEOV)	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162108
47	Bunyavirales	Hantaviridae		Orthohantavirus	Sin Nombre orthohantavirus	0		Blue River virus (BRV), Monongahela virus (MGLV), Sin Nombre virus (SNV)	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162109
48	Bunyavirales	Hantaviridae		Orthohantavirus	Thailand orthohantavirus	0		Anjozorobe virus, Thailand virus (THAIV)	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162110
49	Bunyavirales	Hantaviridae		Orthohantavirus	Thottapalayam orthohantavirus	0		Thottapalayam virus (TPMV)	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162111
50	Bunyavirales	Hantaviridae		Orthohantavirus	Tula orthohantavirus	0		Tula virus (TULV)	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162113
51	Bunyavirales	Hantaviridae		Orthohantavirus	Yakeshi orthohantavirus	0	M:JX465403,S:JX465423	Yakeshi virus Yakeshi-Si-210	ssRNA(-)	New,	31	2016.023a-cM.A.v2.Hantavirus_sprev	ICTVonline=20164796
52	Bunyavirales	Jonviridae		Orthojonvirus	Jonchet orthojonvirus	1	L:KP710232,L:KP710240,L:KP710243	jonchet virus B81-CI-2004	ssRNA(-)	New,	31	2016.025a-dM.A.v2.Orthojonvirus	ICTVonline=20164801
53	Bunyavirales	Nairoviridae		Orthonairovirus	Burana orthonairovirus	0	L:KM817683,M:KM817717,S:KM817743	Tǎchéng tick virus 1	ssRNA(-)	New,	31	2016.026a,bM.A.v3.Nairovirus_5sp	ICTVonline=20164802
54	Bunyavirales	Nairoviridae		Orthonairovirus	Crimean-Congo hemorrhagic fever orthonairovirus	0		Crimean-Congo hemorrhagic fever virus (CCHFV), Hazara virus (HAZV)	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162115
55	Bunyavirales	Nairoviridae		Orthonairovirus	Dera Ghazi Khan orthonairovirus	0		Abu Hammad virus (AHV), Abu Mina virus (AMV), Dera Ghazi Khan virus (DGKV), Kao Shuan virus (KSV), Pathum Thani virus (PTHV), Pretoria virus (PREV)	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162116
56	Bunyavirales	Nairoviridae		Orthonairovirus	Dugbe orthonairovirus	1		Dugbe virus (DUGV), Ganjam virus (GANV), Kupe virus (KUPEV), Nairobi sheep disease virus (NSDV)	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162117
57	Bunyavirales	Nairoviridae		Orthonairovirus	Hazara orthonairovirus	0	L:KP406723,M:KP406724,S:KP406725	Hazara virus	ssRNA(-)	New,	31	2016.026a,bM.A.v3.Nairovirus_5sp	ICTVonline=20164803
58	Bunyavirales	Nairoviridae		Orthonairovirus	Hughes orthonairovirus	0		Caspiy virus (CASV), Farallon virus (FARV), Fraser Point virus (FPV), Great Saltee virus (GRSV), Hughes virus (HUGV), Puffin Island virus (PIV), Punta Salinas virus (PSV), Raza virus (RAZAV), Sapphire II virus (SAPV), Soldado virus (SOLV), Zirqa virus (ZIRV)	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162118
59	Bunyavirales	Nairoviridae		Orthonairovirus	Kasokero orthonairovirus	0	L:KR537444,M:KR537445,S:KR537446	Kasokero virus	ssRNA(-)	New,	31	2016.026a,bM.A.v3.Nairovirus_5sp	ICTVonline=20164804
60	Bunyavirales	Nairoviridae		Orthonairovirus	Keterah orthonairovirus	0	L:KR537447,M:KR537448,S:KR537449	Keterah virus	ssRNA(-)	New,	31	2016.026a,bM.A.v3.Nairovirus_5sp	ICTVonline=20164805
61	Bunyavirales	Nairoviridae		Orthonairovirus	Nairobi sheep disease orthonairovirus	0	L:KM464726,M:KM464725,S:KM464724	Nairobi sheep disease virus	ssRNA(-)	New,	31	2016.026a,bM.A.v3.Nairovirus_5sp	ICTVonline=20164806
62	Bunyavirales	Nairoviridae		Orthonairovirus	Qalyub orthonairovirus	0		Bakel virus (BAKV), Bandia virus (BDAV), Chim virus (CHIMV), Geran virus (GERV), Omo virus (OMOV), Qalyub virus (QYBV)	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162119
63	Bunyavirales	Nairoviridae		Orthonairovirus	Sakhalin orthonairovirus	0		Avalon virus (AVAV), = Paramushir virus (PRMV), Clo Mor virus (CLMV), Finch Creek virus (FINCV), Kachemak Bay virus (KBV), Sakhalin virus (SAKV), Taggert virus (TAGB), Tillamook virus (TILLV)	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162120
64	Bunyavirales	Nairoviridae		Orthonairovirus	Thiafora orthonairovirus	0		Erve virus (ERVEV), Thiafora virus (TFAV)	ssRNA(-)	Renamed,Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162121
65	Bunyavirales	Peribunyaviridae		Herbevirus	Herbert herbevirus	1	L:JQ659256,M:JQ659257,S:JQ659258	Herbert virus C60/CI/2004	ssRNA(-)	New,	31	2016.024a-dM.A.v2.Herbevirus	ICTVonline=20164797
66	Bunyavirales	Peribunyaviridae		Herbevirus	Kibale herbevirus	0	L:KF590577,M:KF590576,S:KF590575	Kibale virus P07/UG/2008	ssRNA(-)	New,	31	2016.024a-dM.A.v2.Herbevirus	ICTVonline=20164798
67	Bunyavirales	Peribunyaviridae		Herbevirus	Shuangao insect herbevirus 1	0	L:KM817679,M:KM817714,S:KM817739	Shuāngào insect virus 1 QSA02	ssRNA(-)	New,	31	2016.024a-dM.A.v2.Herbevirus	ICTVonline=20164799
68	Bunyavirales	Peribunyaviridae		Herbevirus	Tai herbevirus	0	L:KF590574,M:KF590573,S:KF590572	Taï virus F47/CI/2004	ssRNA(-)	New,	31	2016.024a-dM.A.v2.Herbevirus	ICTVonline=20164800
69	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Acara orthobunyavirus	0		Acara virus (ACAV), Moriche virus (MORV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162123
70	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Akabane orthobunyavirus	0		Akabane virus (AKAV), Sabo virus (SABOV), Tinaroo virus (TINV), Yaba-7 virus (Y7V)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162124
71	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Alajuela orthobunyavirus	0		Alajuela virus (ALJV), San Juan virus (SJV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162125
72	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Anopheles A orthobunyavirus	0		Anopheles A virus (ANAV), Arumateua virus (ARTV), Caraipé virus (CPEV), Las Maloyas virus (LMV), Lukuni virus (LUKV), Trombetas virus (TRMV), Tucuruí virus (TUC(R)V)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162126
73	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Anopheles B orthobunyavirus	0		Anopheles B virus (ANBV), Boracéia virus (BORV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162127
74	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Bakau orthobunyavirus	0		Bakau virus (BAKV), Ketapang virus (KETV), Nola virus (NOLAV), Tanjong Rabok virus (TRV), Telok Forest virus (TFV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162128
75	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Batama orthobunyavirus	0		Batama virus (BMAV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162129
76	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Benevides orthobunyavirus	0		Benevides virus (BVSV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162130
77	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Bertioga orthobunyavirus	0		Bertioga virus (BERV), Cananeia virus (CNAV), Guaratuba virus (GTBV), Itimirim virus (ITIV), Mirim virus (MIRV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162131
78	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Bimiti orthobunyavirus	0		Bimiti virus (BIMV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162132
79	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Botambi orthobunyavirus	0		Botambi virus (BOTV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162133
80	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Bunyamwera orthobunyavirus	1		Anadyr virus (ANADV), Batai virus (BATV), Birao virus (BIRV), Bozo virus (BOZOV), Bunyamwera virus (BUNV), Cache Valley virus (CVV), Fort Sherman virus (FSV), Germiston virus (GERV), Iaco virus (IACOV), Ilesha virus (ILEV), Lokern virus (LOKV), Maguari virus (MAGV), Mboke virus (MBOV), Ngari virus (NRIV), Northway virus (NORV), Playas virus (PLAV), Potosi virus (POTV), Santa Rosa virus (SARV), Shokwe virus (SHOV), Stanfield virus, Tensaw virus (TENV), Tlacotalpan virus (TLAV), Xingu virus (XINV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162134
81	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Bushbush orthobunyavirus	0		Benfica virus (BENV), Bushbush virus (BSBV), Juan Diaz virus (JDV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162135
82	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Bwamba orthobunyavirus	0		Bwamba virus (BWAV), Pongola virus (PGAV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162136
83	Bunyavirales	Peribunyaviridae		Orthobunyavirus	California encephalitis orthobunyavirus	0		California encephalitis virus (CEV), Inkoo virus (INKV), Jamestown Canyon virus (JCV), Jerry Slough virus (JSV), Keystone virus (KEYV), Khatanga virus (KHATV), La Crosse virus (LACV), Lumbo virus (LUMV), Melao virus (MELV), Morro Bay virus (MBV), San Angelo virus (SAV), Serra do Navio virus (SDNV), snowshoe hare virus (SSHV), South River virus (SORV), Tahyña virus (TAHV), Trivittatus virus (TVTV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162137
84	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Capim orthobunyavirus	0		Capim virus (CAPV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162138
85	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Caraparu orthobunyavirus	0		Apeú virus (APEUV), Bruconha virus (BRUV), Caraparú virus (CARV), Itaya virus, Ossa virus (OSSAV), Vinces virus (VINV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162139
86	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Catu orthobunyavirus	0		Catú virus (CATUV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162140
87	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Estero Real orthobunyavirus	0		Estero Real virus (ERV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162141
88	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Gamboa orthobunyavirus	0		Gamboa virus (GAMV), Pueblo Viejo virus (PVV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162142
89	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Guajara orthobunyavirus	0		Guajará virus (GJAV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162143
90	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Guama orthobunyavirus	0		Ananindeua virus (ANUV), Guamá virus (GMAV), Mahogany Hammock virus (MHV), Moju virus (MOJUV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162144
91	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Guaroa orthobunyavirus	0		Guaroa virus (GROV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162145
92	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Kaeng Khoi orthobunyavirus	0		Kaeng Khoi virus (KKV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162146
93	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Kairi orthobunyavirus	0		Kairi virus (KRIV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162147
94	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Koongol orthobunyavirus	0		Koongol virus (KOOV), Wongal virus (WONV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162148
95	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Madrid orthobunyavirus	0		Madrid virus (MADV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162149
96	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Main Drain orthobunyavirus	0		Main Drain virus (MDV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162150
97	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Manzanilla orthobunyavirus	0		Buttonwillow virus (BUTV), Cat Que virus, Ingwavuma virus (INGV), Inini virus (INIV), Manzanilla virus (MANV), Mermet virus (MERV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162151
98	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Marituba orthobunyavirus	0		Gumbo Limbo virus (GLV), Marituba virus (MTBV), Murutucú virus (MURV), Nepuyo virus (NEPV), Restan virus (RESV), Zungarococha virus (ZUNV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162152
99	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Minatitlan orthobunyavirus	0		Minatitlan virus (MNTV), Palestina virus (PLSV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162153
100	Bunyavirales	Peribunyaviridae		Orthobunyavirus	MPoko orthobunyavirus	0		M’Poko virus (MPOV), Yaba-1 virus (Y1V)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162154
101	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Nyando orthobunyavirus	0		Nyando virus (NDV), Eret(mapodites), virus (ERETV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162155
102	Bunyavirales	Peribunyaviridae		Orthobunyavirus	Olifantsvlei orthobunyavirus	0		Bobia virus (BIAV), Dabakala virus (DABV), Olifantsvlei virus (OLIV), Oubi virus (OUBIV)	ssRNA(-)	Moved,	31	2016.030a-vM.A.v6.Bunyavirales	ICTVonline=20162156
